id,osm_id,name,chain,latitude,longitude,address
89,way/406325337,Arhelan,arhelan,52.6909967,22.4985411,"Kuczyńska 57B, Ciechanowiec"
90,way/406325732,Arhelan,arhelan,52.6772829,22.5071369,"Wojska Polskiego 23a, Ciechanowiec"
91,way/424992543,Arhelan,arhelan,53.5765706,23.1156822,"3 Maja 18, Suchowola"
92,way/426104408,Arhelan,arhelan,52.6924958,22.0587896,"Leśna 16A, Małkinia Górna"
93,way/453424760,Arhelan,arhelan,52.7225864,23.574299,"Warszawska 116A, Hajnówka"
94,way/459011103,Arhelan,arhelan,52.9133745,23.5194775,"Topolowa 2, Narew"
95,way/459012336,Arhelan,arhelan,52.9038713,23.5352148,"Białowieska 16, Narew"
96,way/467814231,Arhelan,arhelan,52.7249593,22.7283271,"Brańska 10, Rudka"
97,way/477578939,Arhelan,arhelan,53.0374001,23.6013375,"Plac 11 Listopada 15, Michałowo"
98,way/577948916,Arhelan,arhelan,52.5145007,23.3523008,"1 Maja 86g, Czeremcha"
99,way/700408620,Arhelan,arhelan,53.0984907,23.2279529,"Zabłudowska 48, Białystok"
100,way/741337665,Arhelan,arhelan,52.7524171,23.17412,"Adama Asnyka 23, Bielsk Podlaski"
101,way/788186123,Arhelan,arhelan,52.2094195,22.5201397,"Jana Kilińskiego 14, Mordy"
102,way/810041421,Arhelan,arhelan,52.1723121,22.2389424,"Feliksa Hłasko 41, Siedlce"
103,way/829430313,Arhelan,arhelan,52.151269,22.2867617,"Łukowska 11, Siedlce"
104,way/837639219,Arhelan,arhelan,52.2218952,21.3519442,"Kolejowa 18, Hipolitów"
105,way/864108925,Arhelan,arhelan,52.1655482,22.3324098,"Siedlecka 16A, Stok Lacki-Folwark"
106,way/891479412,Arhelan,arhelan,52.3028357,22.8219194,"3 Maja 15, Platerów"
107,way/932971343,Arhelan,arhelan,53.0154702,23.1386562,"Białostocka 1A, Juchnowiec Górny"
108,way/1037374387,Arhelan,arhelan,53.3143508,22.9184031,"Jagiellońska 2c, Knyszyn"
109,way/1064367546,Arhelan,arhelan,52.1455617,21.2202212,"Zawiszy Czarnego 1c, Józefów"
